x,y,abs_error_t71
7.703564,9.6774435,0.06713277
8.163761,9.443097,0.012789249
7.8971915,9.399072,0.093438685
8.105693,9.132458,0.094706774
21.218636,19.19501,0.067032516
21.47775,19.062181,0.06461573
21.736866,18.929354,0.06637013
21.995981,18.796526,0.077686846
21.462315,19.384335,0.07177842
21.733776,19.252008,0.06923354
22.005236,19.11968,0.06300247
21.705994,19.57366,0.08209741
21.9898,19.441833,0.07720673
8.3881,8.8413105,0.06639731
8.68257,8.5621195,0.013566136
8.989104,8.294884,0.050206184
8.472286,9.319877,0.040271938
8.760725,9.034707,0.06522012
9.061227,8.761494,0.10104507
8.83888,9.507296,0.15802205
9.133349,9.228104,0.17120826
9.205472,9.694715,0.22410643
21.030516,18.234673,0.10615361
21.340664,18.020031,0.123466134
21.650812,17.80539,0.1345858
21.960958,17.590748,0.13574648
21.352337,18.421957,0.095056534
21.663538,18.207031,0.11459559
21.97474,17.992105,0.13661933
21.67416,18.609241,0.08303589
21.986412,18.394032,0.10625827
10.384088,8.805652,0.26124638
9.919093,8.635396,0.23595023
9.454099,8.465139,0.16168433
10.309112,8.309073,0.2557565
9.840928,8.135521,0.17612928
9.3727455,7.961969,0.10018057
10.234136,7.8124943,0.14667028
9.762763,7.635646,0.07173556
10.159159,7.3159156,0.024062335
20.744534,16.838081,0.069277406
21.124409,16.54849,0.06607193
21.504282,16.2589,0.07611078
21.884157,15.969309,0.062886536
21.15001,17.08897,0.085378766
21.531736,16.799046,0.084106386
21.913462,16.50912,0.09742099
21.555485,17.339859,0.114326894
21.939062,17.0496,0.09240848
11.735447,7.8928814,0.20639992
11.210017,7.7005596,0.19563001
10.684588,7.5082374,0.104774594
11.706556,7.3341937,0.18519574
11.176788,7.1363416,0.06903565
10.64702,6.9384894,0.117694736
11.677667,6.7755055,0.10840726
11.143559,6.5721235,0.12923038
11.648776,6.216818,0.032999694
20.375446,15.13151,0.013274252
20.834192,14.774809,0.029048085
21.29294,14.418108,0.014810324
21.751688,14.061407,0.07855517
20.87835,15.410776,0.042463303
21.339558,15.053933,0.085761905
21.800766,14.69709,0.06388259
21.381254,15.6900425,0.013582468
21.844921,15.333057,0.086353004
13.108899,6.8282256,0.2953146
12.622191,6.624423,0.302208
12.135484,6.4206204,0.14330012
13.13929,6.2960696,0.38364673
12.648681,6.08608,0.20058215
12.1580715,5.87609,0.102956116
13.169681,5.7639136,0.28008008
12.67517,5.5477366,0.22689927
13.20007,5.2317576,0.27497298
20.136013,13.245154,0.056123793
20.61495,12.870557,0.07093251
21.093887,12.495959,0.0936622
21.572824,12.121362,0.10926628
20.674572,13.517239,0.093443036
21.155918,13.142858,0.090826035
21.637266,12.7684765,0.10381925
21.21313,13.789323,0.09748572
21.696888,13.415158,0.109548986
14.317107,5.8203974,0.37857038
13.944762,5.624184,0.4402297
13.572416,5.427971,0.31932807
14.3862295,5.383748,0.43365532
14.0114765,5.1829047,0.32696664
13.636724,4.982061,0.2661677
14.455352,4.947099,0.28344923
14.078192,4.7416253,0.22441536
14.524474,4.51045,0.17859203
19.914343,11.324363,0.16168088
20.393957,10.944744,0.15336663
20.87357,10.565126,0.11746389
21.353184,10.185508,0.06863165
20.46717,11.590029,0.15697277
20.949034,11.210986,0.15649492
21.430899,10.8319435,0.12669545
21.019997,11.855695,0.12859792
21.504112,11.477227,0.13899875
15.385134,5.0795894,0.24955189
15.098247,4.8898764,0.29037488
14.81136,4.700163,0.2089557
15.435968,4.7295804,0.21966511
15.147846,4.5371013,0.18910658
14.859723,4.3446226,0.15113306
15.486804,4.379571,0.17084861
15.197445,4.1843266,0.117328405
15.53764,4.029562,0.09342569
19.69707,9.42771,0.057698548
20.163641,9.036551,0.032956123
20.630213,8.645394,0.0063963532
21.096785,8.254236,0.04535353
20.249107,9.680309,0.06551921
20.71776,9.290068,0.028049171
21.186413,8.899827,0.017410457
20.801146,9.932908,0.06454718
21.27188,9.543584,0.022075951
16.19895,4.498567,0.09385955
15.978513,4.342232,0.13306195
15.758077,4.185897,0.14637005
16.23409,4.23307,0.10959333
16.013304,4.075729,0.13346326
15.792516,3.9183877,0.098846614
16.269234,3.9675725,0.11571169
16.048096,3.8092253,0.10713965
16.304377,3.7020752,0.12197542
19.575577,7.634186,0.022316635
19.996593,7.266259,0.0026329756
20.41761,6.898333,0.025452077
20.838627,6.530407,0.024861872
20.082645,7.8408694,0.033942223
20.505426,7.473792,0.016913533
20.928207,7.1067147,0.012361348
20.589716,8.047553,0.047468185
21.01426,7.6813245,0.056628346
16.79997,4.0346837,0.06510252
16.634773,3.9238143,0.08009541
16.469574,3.8129447,0.10972148
16.818436,3.8296149,0.07651025
16.6556,3.723436,0.10577327
16.492764,3.617257,0.13342553
16.836899,3.6245458,0.11353278
16.676426,3.5230577,0.14840609
16.855364,3.4194767,0.16889322
